product_id,product_name,category,price,discount_percent,rating,reviews_count,orders_count,seller_rating,stock_quantity,date_added
WB-100032,Sakrash arqoni Metall simli,Sport va dam olish,420000.0,30,4.3,276,2168,4.4,250,2026-01-20
WB-100033,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,518000.0,51,4.2,42,1097,4.6,50,2026-06-14
WB-100034,Telefon g'ilofi Silikon,Elektronika,959000.0,45,3.6,159,1755,5.0,100,2026-02-09
WB-100035,Qishki kurtka Oversize,Kiyim va poyabzal,260000.0,36,4.6,33,856,4.5,50,2026-07-10
WB-100036,Mexanik klaviatura RGB,Elektronika,500000.0,34,4.5,166,1810,4.8,10,2026-08-13
WB-100037,Ayollar ko'ylagi Vintage,Kiyim va poyabzal,466000.0,42,4.0,529,4023,4.4,100,2026-05-07
WB-100038,Powerbank 20000mAh,Elektronika,1359000.0,23,4.5,34,724,4.3,250,2025-12-22
WB-100039,USB Type-C kabel Tezkor,Elektronika,658000.0,39,4.4,19,801,4.7,50,2026-03-18
WB-100040,Uy shippagi Soft,Kiyim va poyabzal,407000.0,39,3.7,2,660,4.5,25,2026-01-21
WB-100041,Termo ichki kiyim,Sport va dam olish,368000.0,32,3.9,273,2141,4.9,50,2026-02-10
WB-100042,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,692000.0,53,4.4,284,2608,4.5,50,2025-10-30
WB-100043,Bluetooth karnay Mini,Elektronika,,23,5.0,57,925,4.4,0,2026-04-19
WB-100044,Sakrash arqoni Metall simli,Sport va dam olish,177000.0,69,4.9,4,1089,5.0,100,2025-11-08
WB-100045,Jinsi shim Slim Fit,Kiyim va poyabzal,474000.0,34,4.8,111,1513,4.2,10,2026-01-28
WB-100046,Mexanik klaviatura RGB,Elektronika,762000.0,33,4.4,140,1534,4.9,500,2026-08-07
WB-100047,Fitnes rezinkalar to'plami,Sport va dam olish,252000.0,22,4.6,84,942,4.2,0,2026-03-31
WB-100048,Chizmachilik to'plami 100+ dona,Bolalar tovarlari,287000.0,31,3.6,37,807,4.5,50,2026-06-21
WB-100049,Yumshoq ayiqcha Plush,Bolalar tovarlari,200000.0,11,4.7,101,1015,4.8,25,2025-11-23
WB-100050,USB Type-C kabel Tezkor,Elektronika,1594000.0,31,4.2,1,625,4.8,50,2026-06-02
WB-100051,Soch maskasi Keratin,Go'zallik va parvarish,215000.0,47,4.5,62,1069,4.4,100,2026-05-20
WB-100052,Tana skrabı Kofe,Go'zallik va parvarish,324000.0,33,4.8,15,721,4.8,500,2026-08-10
WB-100053,Tish tozalovchi kukun,Go'zallik va parvarish,440000.0,22,4.5,12,548,4.8,0,2026-08-19
WB-100054,Shaker Protein,Sport va dam olish,218000.0,55,4.3,167,1559,4.6,50,2026-04-04
WB-100055,Simsiz sichqoncha,Elektronika,276000.0,51,4.7,103,1549,5.0,25,2025-10-04
WB-100056,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,459000.0,15,4.1,57,818,4.9,50,2026-01-25
WB-100057,Yoga mat 6mm,Sport va dam olish,618000.0,37,4.7,129,1228,4.7,0,2026-03-19
WB-100058,Telefon g'ilofi Silikon,Elektronika,576000.0,28,5.0,8,619,5.0,100,2026-07-26
WB-100059,Jinsi shim Slim Fit,Kiyim va poyabzal,636000.0,58,4.1,8,932,5.0,100,2026-01-16
WB-100060,Mexanik klaviatura RGB,Elektronika,1701000.0,17,4.5,10,454,4.7,25,2025-09-04
WB-100061,Masofadan boshqariladigan mashina,Bolalar tovarlari,371000.0,60,4.6,206,2210,4.4,100,2026-07-21
WB-100062,Termo ichki kiyim,Sport va dam olish,427000.0,28,4.5,51,801,4.2,25,2026-03-20
WB-100063,Shaker Protein,Sport va dam olish,62000.0,44,4.6,14,884,4.2,0,2026-07-24
WB-100064,Sviter Casual,Kiyim va poyabzal,382000.0,35,4.0,171,1341,4.4,50,2026-08-14
WB-100065,Yuz zardobi Hyaluron,Go'zallik va parvarish,327000.0,34,4.6,62,927,4.5,0,2026-07-19
WB-100066,Choyshablar to'plami Satina,Uy-ro'zg'or buyumlari,538000.0,20,4.7,76,908,4.7,100,2026-05-09
WB-100067,Uy shippagi Soft,Kiyim va poyabzal,362000.0,37,4.2,0,675,4.3,250,2026-04-29
WB-100068,Tana skrabı Kofe,Go'zallik va parvarish,260000.0,19,4.4,46,645,4.3,10,2026-03-20
WB-100069,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,308000.0,20,3.9,474,3184,4.7,100,2026-02-07
WB-100070,Avtomobil ushlagichi,Elektronika,1646000.0,43,4.5,245,2703,4.8,25,2026-02-11
WB-100071,Klassik kostyum-shim,Kiyim va poyabzal,819000.0,44,4.2,45,1051,4.1,0,2026-07-04
WB-100072,Sport sumkasi Suv o'tkazmaydigan,Sport va dam olish,496000.0,28,4.6,120,1432,4.7,0,2025-09-14
WB-100073,Mexanik klaviatura RGB,Elektronika,330000.0,15,4.4,188,1243,4.8,100,2026-08-06
WB-100074,Charm kamar,Kiyim va poyabzal,628000.0,13,4.6,275,1922,4.9,0,2026-04-05
WB-100075,Mexanik klaviatura RGB,Elektronika,1267000.0,22,4.6,885,7009,4.8,25,2026-06-12
WB-100076,Uy shippagi Soft,Kiyim va poyabzal,304000.0,14,4.3,163,978,4.4,25,2025-12-17
WB-100077,Tish tozalovchi kukun,Go'zallik va parvarish,132000.0,35,3.9,137,1212,4.8,0,2026-01-27
WB-100078,Powerbank 20000mAh,Elektronika,235000.0,28,5.0,23,628,4.4,100,2026-05-05
WB-100079,Simsiz sichqoncha,Elektronika,1744000.0,26,5.0,195,1685,4.8,10,2026-08-03
WB-100080,Shaker Protein,Sport va dam olish,263000.0,35,4.4,92,1142,4.3,100,2026-03-05
WB-100081,Jinsi shim Slim Fit,Kiyim va poyabzal,480000.0,8,3.9,47,578,4.3,50,2026-08-15
WB-100082,Erkaklar futbolkasi Basic,Kiyim va poyabzal,331000.0,28,4.5,261,1610,4.7,250,2026-08-13
WB-100083,Yostiq Ortopedik,Uy-ro'zg'or buyumlari,667000.0,19,4.0,114,1313,5.0,10,2026-04-06
WB-100084,Bluetooth karnay Mini,Elektronika,1016000.0,49,4.5,60,1107,4.9,50,2025-10-07
WB-100085,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,46000.0,12,5.0,185,1224,4.3,100,2025-12-10
WB-100086,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,,40,4.3,16,789,4.9,0,2025-10-28
WB-100087,Klassik kostyum-shim,Kiyim va poyabzal,74000.0,34,4.7,65,926,4.7,25,2026-05-11
WB-100088,Paypoqlar to'plami (5 juft),Kiyim va poyabzal,99000.0,41,3.8,88,1190,4.6,50,2026-03-15
WB-100089,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,83000.0,52,4.7,8,882,4.4,25,2026-03-05
WB-100090,Tish tozalovchi kukun,Go'zallik va parvarish,208000.0,36,4.3,127,1562,4.4,50,2026-04-10
WB-100091,Plastilin to'plami,Bolalar tovarlari,276000.0,48,4.7,131,1519,5.0,0,2025-10-07
WB-100092,Klassik kostyum-shim,Kiyim va poyabzal,782000.0,16,4.3,98,915,4.8,250,2026-03-26
WB-100093,Taktik ryukzak 40L,Sport va dam olish,231000.0,49,4.8,20,954,4.4,100,2026-02-26
WB-100094,Uy shippagi Soft,Kiyim va poyabzal,812000.0,62,4.4,114,1744,4.7,500,2026-08-12
WB-100095,Organayzer javon,Uy-ro'zg'or buyumlari,694000.0,29,4.7,18,732,4.8,0,2025-10-07
WB-100096,Bluetooth karnay Mini,Elektronika,351000.0,29,4.8,340,2700,4.5,500,2026-07-04
WB-100097,Mexanik klaviatura RGB,Elektronika,915000.0,23,4.6,168,1169,4.7,250,2026-06-21
WB-100098,Uy shippagi Soft,Kiyim va poyabzal,936000.0,44,4.6,348,3183,4.4,0,2025-08-25
WB-100099,Sviter Casual,Kiyim va poyabzal,686000.0,6,4.5,196,1055,4.5,0,2026-04-14
WB-100100,Tish tozalovchi kukun,Go'zallik va parvarish,197000.0,27,4.3,62,1055,5.0,50,2026-08-10
WB-100101,Bolalar kolyaskasi Yengil,Bolalar tovarlari,287000.0,30,4.6,245,2279,5.0,0,2026-05-10
WB-100102,Klassik kostyum-shim,Kiyim va poyabzal,372000.0,55,4.4,19,960,4.8,10,2026-07-23
WB-100103,Soch maskasi Keratin,Go'zallik va parvarish,346000.0,36,4.1,309,2493,4.3,500,2026-07-09
WB-100104,Parfyum Elixir 50ml,Go'zallik va parvarish,363000.0,23,4.3,9,566,4.7,25,2025-09-30
WB-100105,Paypoqlar to'plami (5 juft),Kiyim va poyabzal,511000.0,16,4.6,188,1807,4.7,250,2025-11-26
WB-100106,Erkaklar futbolkasi Basic,Kiyim va poyabzal,461000.0,45,3.9,484,2620,4.5,250,2026-04-03
WB-100107,Tana skrabı Kofe,Go'zallik va parvarish,183000.0,31,4.9,49,928,4.2,0,2026-02-06
WB-100108,Ring Light lampa,Elektronika,1582000.0,25,4.9,18,667,4.5,50,2025-10-27
WB-100109,Mexanik klaviatura RGB,Elektronika,1187000.0,31,4.7,145,1779,4.6,0,2026-07-18
WB-100110,Qishki kurtka Oversize,Kiyim va poyabzal,220000.0,43,5.0,79,1128,4.7,500,2025-10-12
WB-100111,Choyshablar to'plami Satina,Uy-ro'zg'or buyumlari,57000.0,21,5.0,16,604,5.0,500,2026-07-07
WB-100112,Mexanik klaviatura RGB,Elektronika,707000.0,27,3.6,113,1299,4.4,10,2026-01-27
WB-100113,Sport sumkasi Suv o'tkazmaydigan,Sport va dam olish,264000.0,75,4.2,74,1452,4.8,10,2025-12-02
WB-100114,Simsiz sichqoncha,Elektronika,1583000.0,28,4.4,224,2196,5.0,25,2026-04-09
WB-100115,Telefon g'ilofi Silikon,Elektronika,1485000.0,60,4.0,64,1254,4.8,0,2026-03-01
WB-100116,Klassik kostyum-shim,Kiyim va poyabzal,,43,4.7,212,2180,4.9,50,2026-07-03
WB-100117,Powerbank 20000mAh,Elektronika,1024000.0,32,4.1,14,663,4.7,50,2026-07-15
WB-100118,Charm kamar,Kiyim va poyabzal,591000.0,52,4.5,33,965,4.7,10,2026-06-10
WB-100119,Klassik kostyum-shim,Kiyim va poyabzal,120000.0,17,4.4,534,3613,4.8,250,2026-03-08
WB-100120,Ayollar ko'ylagi Vintage,Kiyim va poyabzal,367000.0,32,4.0,177,1796,4.7,100,2026-02-11
WB-100121,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,736000.0,25,4.5,17,649,4.6,10,2025-09-13
WB-100122,USB Type-C kabel Tezkor,Elektronika,966000.0,53,4.5,35,1113,4.8,500,2025-09-15
WB-100123,Klassik kostyum-shim,Kiyim va poyabzal,449000.0,21,4.7,376,2391,5.0,25,2026-05-14
WB-100124,Mexanik klaviatura RGB,Elektronika,1116000.0,43,4.1,46,898,4.4,100,2026-03-28
WB-100125,Bluetooth karnay Mini,Elektronika,1138000.0,15,4.7,188,1114,4.4,100,2026-08-04
WB-100126,Bolalar futbolkasi Paxta,Bolalar tovarlari,64000.0,58,4.7,54,1191,4.5,250,2026-04-09
WB-100127,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,129000.0,26,4.7,39,867,4.6,100,2026-03-08
WB-100128,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,184000.0,17,4.2,791,3908,4.7,10,2026-08-22
WB-100129,Havo tozalagich diffuzor,Uy-ro'zg'or buyumlari,511000.0,30,4.1,41,790,4.9,250,2026-07-14
WB-100130,Jinsi shim Slim Fit,Kiyim va poyabzal,765000.0,36,4.9,53,944,4.7,10,2026-07-01
WB-100131,Simsiz sichqoncha,Elektronika,984000.0,38,3.9,9,719,4.4,250,2026-05-13
WB-100132,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,161000.0,50,4.4,289,1917,4.7,10,2025-11-12
WB-100133,Avtomobil ushlagichi,Elektronika,1619000.0,41,4.3,120,1443,4.8,100,2025-10-08
WB-100134,Gantellar to'plami 2x5kg,Sport va dam olish,144000.0,12,4.0,49,767,4.7,0,2025-09-14
WB-100135,Telefon g'ilofi Silikon,Elektronika,1399000.0,16,4.8,82,940,5.0,50,2025-12-25
WB-100136,Smart soat Pro,Elektronika,1264000.0,43,4.8,74,1154,5.0,25,2026-02-14
WB-100137,Avtomobil ushlagichi,Elektronika,263000.0,35,4.7,71,997,4.8,500,2026-07-03
WB-100138,Sakrash arqoni Metall simli,Sport va dam olish,610000.0,33,4.3,20,737,4.7,50,2025-09-02
WB-100139,Yuz zardobi Hyaluron,Go'zallik va parvarish,116000.0,32,4.6,81,1210,4.4,100,2025-08-26
WB-100140,Bolalar butilkasi Anti-kolik,Bolalar tovarlari,469000.0,24,4.8,101,964,4.6,100,2026-04-09
WB-100141,Taktik ryukzak 40L,Sport va dam olish,112000.0,49,4.4,190,1800,4.4,10,2026-06-26
WB-100142,Krossovka Sport Run,Kiyim va poyabzal,695000.0,41,4.1,19,878,5.0,25,2025-11-13
WB-100143,Masofadan boshqariladigan mashina,Bolalar tovarlari,232000.0,43,4.1,148,1455,4.4,250,2025-10-17
WB-100144,Mikrofibra sochiqlar to'plami,Uy-ro'zg'or buyumlari,460000.0,32,5.0,429,3253,4.7,50,2025-11-17
WB-100145,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,136000.0,33,4.4,355,2057,4.6,10,2026-03-21
WB-100146,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,658000.0,34,4.4,17,695,4.9,100,2026-03-02
WB-100147,Sakrash arqoni Metall simli,Sport va dam olish,373000.0,21,3.9,137,1430,4.9,10,2026-01-11
WB-100148,Velosiped chirog'i LED,Sport va dam olish,510000.0,28,4.0,80,955,4.4,250,2026-01-09
WB-100149,Qo'l kremi Mini,Go'zallik va parvarish,373000.0,61,4.3,41,1146,4.4,50,2026-07-23
WB-100150,Sviter Casual,Kiyim va poyabzal,301000.0,23,4.4,13,591,4.7,100,2025-12-15
WB-100151,Simsiz sichqoncha,Elektronika,253000.0,35,4.5,95,1340,4.9,50,2026-04-23
WB-100152,USB Type-C kabel Tezkor,Elektronika,1191000.0,40,4.4,102,1300,4.0,10,2026-03-23
WB-100153,Termo ichki kiyim,Sport va dam olish,521000.0,44,5.0,246,1975,4.6,100,2025-10-15
WB-100154,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,248000.0,41,4.4,84,1121,4.4,250,2026-04-13
WB-100155,Klassik kostyum-shim,Kiyim va poyabzal,764000.0,12,4.3,23,565,4.3,100,2026-02-05
WB-100156,Krossovka Sport Run,Kiyim va poyabzal,,36,4.5,58,979,4.8,100,2026-06-11
WB-100157,Mikrofibra sochiqlar to'plami,Uy-ro'zg'or buyumlari,511000.0,26,4.5,139,1632,4.3,250,2025-10-21
WB-100158,Telefon g'ilofi Silikon,Elektronika,457000.0,40,4.7,165,1723,4.8,50,2026-05-24
WB-100159,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,659000.0,49,4.7,145,1377,4.6,100,2026-05-07
WB-100160,Sviter Casual,Kiyim va poyabzal,453000.0,24,4.0,80,1095,4.6,10,2026-05-11
WB-100161,Parfyum Elixir 50ml,Go'zallik va parvarish,332000.0,13,4.9,164,1420,4.7,0,2026-05-26
WB-100162,Charm kamar,Kiyim va poyabzal,88000.0,13,4.8,174,1760,4.4,50,2026-04-08
WB-100163,Avtomobil ushlagichi,Elektronika,309000.0,39,4.4,592,3851,5.0,500,2025-08-23
WB-100164,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,205000.0,27,4.7,74,888,5.0,500,2025-10-18
WB-100165,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,127000.0,53,4.7,70,1341,4.5,0,2026-03-15
WB-100166,Mikrofibra sochiqlar to'plami,Uy-ro'zg'or buyumlari,131000.0,45,4.5,297,2549,4.4,500,2026-02-02
WB-100167,Shaker Protein,Sport va dam olish,175000.0,33,4.6,355,3301,4.4,50,2026-06-02
WB-100168,Termo ichki kiyim,Sport va dam olish,519000.0,28,4.8,19,677,4.3,500,2025-12-15
WB-100169,Konstruktor Lego mos keluvchi,Bolalar tovarlari,357000.0,53,4.4,17,948,4.9,50,2026-02-27
WB-100170,Qishki kurtka Oversize,Kiyim va poyabzal,396000.0,31,4.4,9,636,4.4,10,2026-04-24
WB-100171,Simsiz quloqchin TWS,Elektronika,444000.0,44,5.0,164,1935,4.4,250,2025-12-04
WB-100172,USB Type-C kabel Tezkor,Elektronika,735000.0,21,4.4,36,677,4.6,250,2026-04-19
WB-100173,Klassik kostyum-shim,Kiyim va poyabzal,428000.0,25,4.4,18,634,4.5,50,2026-01-20
WB-100174,Telefon g'ilofi Silikon,Elektronika,939000.0,22,4.1,35,757,4.5,50,2026-04-14
WB-100175,Sviter Casual,Kiyim va poyabzal,495000.0,51,,123,1334,4.7,500,2026-07-30
WB-100176,Jinsi shim Slim Fit,Kiyim va poyabzal,120000.0,41,,73,975,4.2,50,2026-07-25
WB-100177,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,32000.0,31,4.1,40,809,4.3,10,2025-10-15
WB-100178,Paypoqlar to'plami (5 juft),Kiyim va poyabzal,529000.0,39,4.2,60,975,4.8,250,2025-12-15
WB-100179,Erkaklar futbolkasi Basic,Kiyim va poyabzal,143000.0,21,4.8,6,526,4.9,50,2026-07-18
WB-100180,Yumshoq ayiqcha Plush,Bolalar tovarlari,542000.0,44,4.4,277,2571,4.5,0,2026-08-07
WB-100181,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,101000.0,36,4.4,27,785,4.2,0,2026-01-22
WB-100182,Plastilin to'plami,Bolalar tovarlari,421000.0,20,4.4,161,1599,4.5,250,2026-02-15
WB-100183,Bolalar butilkasi Anti-kolik,Bolalar tovarlari,381000.0,19,4.2,416,2489,4.3,50,2026-04-30
WB-100184,Powerbank 20000mAh,Elektronika,1249000.0,31,4.4,115,1411,4.5,10,2026-03-04
WB-100185,Havo tozalagich diffuzor,Uy-ro'zg'or buyumlari,290000.0,65,5.0,70,1521,4.7,50,2026-04-08
WB-100186,Ayollar ko'ylagi Vintage,Kiyim va poyabzal,375000.0,51,4.8,47,1094,4.8,0,2026-06-04
WB-100187,Lab bo'yog'i Matte,Go'zallik va parvarish,316000.0,40,4.7,37,879,4.8,25,2026-04-26
WB-100188,Suv idishi Sport 750ml,Sport va dam olish,402000.0,37,4.7,43,1002,4.9,500,2026-02-06
WB-100189,Masofadan boshqariladigan mashina,Bolalar tovarlari,121000.0,19,5.0,26,657,4.5,25,2026-08-12
WB-100190,Havo tozalagich diffuzor,Uy-ro'zg'or buyumlari,301000.0,41,4.2,14,773,4.4,250,2026-05-30
WB-100191,Sport sumkasi Suv o'tkazmaydigan,Sport va dam olish,307000.0,29,5.0,205,2029,4.8,250,2026-01-24
WB-100192,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,83000.0,52,4.5,61,1233,4.4,100,2025-09-09
WB-100193,Pampers to'plami XL,Bolalar tovarlari,375000.0,41,4.4,34,952,4.9,100,2026-07-18
WB-100194,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,106000.0,43,4.6,164,1730,4.4,25,2026-03-10
WB-100195,Yostiq Ortopedik,Uy-ro'zg'or buyumlari,278000.0,41,4.5,64,1258,5.0,10,2026-02-16
WB-100196,Charm kamar,Kiyim va poyabzal,370000.0,54,4.8,72,1194,4.7,0,2026-02-13
WB-100197,Jinsi shim Slim Fit,Kiyim va poyabzal,519000.0,22,4.4,66,866,4.3,10,2026-07-15
WB-100198,Termos 1L zanglamas,Uy-ro'zg'or buyumlari,354000.0,33,4.5,29,753,4.2,100,2025-10-13
WB-100199,Telefon g'ilofi Silikon,Elektronika,867000.0,32,5.0,90,1185,4.4,100,2025-10-19
WB-100200,Parfyum Elixir 50ml,Go'zallik va parvarish,415000.0,16,4.2,45,630,4.8,10,2026-05-10
WB-100201,Qo'l kremi Mini,Go'zallik va parvarish,104000.0,19,4.1,124,1412,4.5,10,2025-11-25
WB-100202,Klassik kostyum-shim,Kiyim va poyabzal,907000.0,25,4.5,58,867,4.4,50,2026-03-22
WB-100203,Paypoqlar to'plami (5 juft),Kiyim va poyabzal,87000.0,35,4.2,38,873,4.8,250,2026-05-02
WB-100204,Sviter Casual,Kiyim va poyabzal,793000.0,16,5.0,5,417,4.4,0,2026-07-22
WB-100205,Suv idishi Sport 750ml,Sport va dam olish,200000.0,39,4.4,240,1665,4.4,250,2026-06-19
WB-100206,Qo'l kremi Mini,Go'zallik va parvarish,96000.0,41,4.7,27,822,4.8,100,2025-11-16
WB-100207,USB Type-C kabel Tezkor,Elektronika,1718000.0,5,4.4,202,1116,4.3,0,2026-01-10
WB-100208,Bolalar kolyaskasi Yengil,Bolalar tovarlari,126000.0,30,4.7,222,1785,4.9,250,2026-03-22
WB-100209,Oshxona pichoqlar to'plami,Uy-ro'zg'or buyumlari,320000.0,34,4.0,251,1983,4.6,500,2025-10-08
WB-100210,Havo tozalagich diffuzor,Uy-ro'zg'or buyumlari,642000.0,39,4.2,413,3646,4.6,25,2026-02-10
WB-100211,Bolalar butilkasi Anti-kolik,Bolalar tovarlari,541000.0,35,4.4,118,1549,4.7,10,2026-04-04
WB-100212,Powerbank 20000mAh,Elektronika,1597000.0,25,5.0,251,1528,4.7,250,2026-07-20
WB-100213,Telefon g'ilofi Silikon,Elektronika,,40,4.6,28,801,4.4,50,2025-08-26
WB-100214,Uy shippagi Soft,Kiyim va poyabzal,678000.0,24,4.5,11,611,4.7,25,2025-10-31
WB-100215,Chizmachilik to'plami 100+ dona,Bolalar tovarlari,83000.0,16,4.3,21,528,5.0,50,2026-07-03
WB-100216,Ayollar ko'ylagi Vintage,Kiyim va poyabzal,185000.0,52,4.9,51,1150,4.4,250,2025-10-04
WB-100217,Organayzer javon,Uy-ro'zg'or buyumlari,591000.0,24,3.9,128,1092,4.6,250,2026-03-10
WB-100218,Bolalar kolyaskasi Yengil,Bolalar tovarlari,320000.0,48,4.8,108,1511,4.5,25,2025-10-28
WB-100219,Avtomobil ushlagichi,Elektronika,1255000.0,37,3.6,176,1281,4.7,0,2025-09-21
WB-100220,Avtomobil ushlagichi,Elektronika,1399000.0,21,4.7,122,1216,4.7,0,2026-05-10
WB-100221,Klassik kostyum-shim,Kiyim va poyabzal,408000.0,16,4.0,137,912,4.2,500,2025-12-22
WB-100222,Simsiz sichqoncha,Elektronika,1133000.0,55,4.7,128,1458,4.6,0,2025-11-13
WB-100223,Parfyum Elixir 50ml,Go'zallik va parvarish,96000.0,53,4.9,37,1159,4.5,500,2026-03-29
WB-100224,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,482000.0,17,4.5,6,484,4.7,500,2025-10-13
WB-100225,Sviter Casual,Kiyim va poyabzal,62000.0,36,4.5,5,698,4.5,500,2025-09-09
WB-100226,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,192000.0,35,5.0,46,992,4.5,250,2025-09-17
WB-100227,Termo ichki kiyim,Sport va dam olish,82000.0,23,4.6,223,1616,4.6,10,2026-01-18
WB-100228,Soch maskasi Keratin,Go'zallik va parvarish,182000.0,80,4.3,179,2364,4.5,10,2025-08-25
WB-100229,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,429000.0,56,4.5,226,2452,4.8,10,2026-03-24
WB-100230,Velosiped chirog'i LED,Sport va dam olish,97000.0,63,4.1,88,1517,5.0,0,2026-06-15
WB-100231,Yumshoq ayiqcha Plush,Bolalar tovarlari,374000.0,55,4.7,16,1002,4.1,50,2026-08-15
WB-100232,Yuz zardobi Hyaluron,Go'zallik va parvarish,57000.0,42,5.0,105,1206,4.8,50,2025-10-22
WB-100233,Qishki kurtka Oversize,Kiyim va poyabzal,472000.0,38,4.4,197,1633,4.3,10,2026-02-05
WB-100234,Termo ichki kiyim,Sport va dam olish,353000.0,29,4.3,561,2593,4.8,250,2026-05-30
WB-100235,Chizmachilik to'plami 100+ dona,Bolalar tovarlari,112000.0,59,4.7,30,1053,4.8,250,2025-10-04
