product_id,product_name,category,price,discount_percent,rating,reviews_count,orders_count,seller_rating,stock_quantity,date_added,final_price,discount_amount,estimated_revenue,review_per_order_ratio,popularity_segment
WB-100043,Bluetooth karnay Mini,Elektronika,1011000,23,5.0,57,925,4.4,0,2026-04-19,778500,232500,720112500,0.0616,Kam sotilgan
WB-100044,Sakrash arqoni Metall simli,Sport va dam olish,177000,69,4.9,4,1089,5.0,100,2025-11-08,54900,122100,59786100,0.0037,O'rtacha sotilgan
WB-100045,Jinsi shim Slim Fit,Kiyim va poyabzal,474000,34,4.8,111,1513,4.2,10,2026-01-28,312800,161200,473266400,0.0734,Top sotilgan (Bestseller)
WB-100046,Mexanik klaviatura RGB,Elektronika,762000,33,4.4,140,1534,4.9,500,2026-08-07,510500,251500,783107000,0.0913,Top sotilgan (Bestseller)
WB-100047,Fitnes rezinkalar to'plami,Sport va dam olish,252000,22,4.6,84,942,4.2,0,2026-03-31,196600,55400,185197200,0.0892,O'rtacha sotilgan
WB-100048,Chizmachilik to'plami 100+ dona,Bolalar tovarlari,287000,31,3.6,37,807,4.5,50,2026-06-21,198000,89000,159786000,0.0458,Kam sotilgan
WB-100049,Yumshoq ayiqcha Plush,Bolalar tovarlari,200000,11,4.7,101,1015,4.8,25,2025-11-23,178000,22000,180670000,0.0995,O'rtacha sotilgan
WB-100050,USB Type-C kabel Tezkor,Elektronika,1594000,31,4.2,1,625,4.8,50,2026-06-02,1099900,494100,687437500,0.0016,Kam sotilgan
WB-100051,Soch maskasi Keratin,Go'zallik va parvarish,215000,47,4.5,62,1069,4.4,100,2026-05-20,114000,101000,121866000,0.058,O'rtacha sotilgan
WB-100052,Tana skrabı Kofe,Go'zallik va parvarish,324000,33,4.8,15,721,4.8,500,2026-08-10,217100,106900,156529100,0.0208,Kam sotilgan
WB-100053,Tish tozalovchi kukun,Go'zallik va parvarish,440000,22,4.5,12,548,4.8,0,2026-08-19,343200,96800,188073600,0.0219,Kam sotilgan
WB-100054,Shaker Protein,Sport va dam olish,218000,55,4.3,167,1559,4.6,50,2026-04-04,98100,119900,152937900,0.1071,Top sotilgan (Bestseller)
WB-100055,Simsiz sichqoncha,Elektronika,276000,51,4.7,103,1549,5.0,25,2025-10-04,135200,140800,209424800,0.0665,Top sotilgan (Bestseller)
WB-100056,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,459000,15,4.1,57,818,4.9,50,2026-01-25,390200,68800,319183600,0.0697,Kam sotilgan
WB-100057,Yoga mat 6mm,Sport va dam olish,618000,37,4.7,129,1228,4.7,0,2026-03-19,389300,228700,478060400,0.105,O'rtacha sotilgan
WB-100058,Telefon g'ilofi Silikon,Elektronika,576000,28,5.0,8,619,5.0,100,2026-07-26,414700,161300,256699300,0.0129,Kam sotilgan
WB-100059,Jinsi shim Slim Fit,Kiyim va poyabzal,636000,58,4.1,8,932,5.0,100,2026-01-16,267100,368900,248937200,0.0086,O'rtacha sotilgan
WB-100060,Mexanik klaviatura RGB,Elektronika,1701000,17,4.5,10,454,4.7,25,2025-09-04,1411800,289200,640957200,0.022,Kam sotilgan
WB-100061,Masofadan boshqariladigan mashina,Bolalar tovarlari,371000,60,4.6,206,2210,4.4,100,2026-07-21,148400,222600,327964000,0.0932,Top sotilgan (Bestseller)
WB-100062,Termo ichki kiyim,Sport va dam olish,427000,28,4.5,51,801,4.2,25,2026-03-20,307400,119600,246227400,0.0637,Kam sotilgan
WB-100063,Shaker Protein,Sport va dam olish,62000,44,4.6,14,884,4.2,0,2026-07-24,34700,27300,30674800,0.0158,Kam sotilgan
WB-100064,Sviter Casual,Kiyim va poyabzal,382000,35,4.0,171,1341,4.4,50,2026-08-14,248300,133700,332970300,0.1275,O'rtacha sotilgan
WB-100065,Yuz zardobi Hyaluron,Go'zallik va parvarish,327000,34,4.6,62,927,4.5,0,2026-07-19,215800,111200,200046600,0.0669,O'rtacha sotilgan
WB-100066,Choyshablar to'plami Satina,Uy-ro'zg'or buyumlari,538000,20,4.7,76,908,4.7,100,2026-05-09,430400,107600,390803200,0.0837,Kam sotilgan
WB-100067,Uy shippagi Soft,Kiyim va poyabzal,362000,37,4.2,0,675,4.3,250,2026-04-29,228100,133900,153967500,0.0,Kam sotilgan
WB-100068,Tana skrabı Kofe,Go'zallik va parvarish,260000,19,4.4,46,645,4.3,10,2026-03-20,210600,49400,135837000,0.0713,Kam sotilgan
WB-100069,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,308000,20,3.9,474,3184,4.7,100,2026-02-07,246400,61600,784537600,0.1489,Top sotilgan (Bestseller)
WB-100070,Avtomobil ushlagichi,Elektronika,1646000,43,4.5,245,2703,4.8,25,2026-02-11,938200,707800,2535954600,0.0906,Top sotilgan (Bestseller)
WB-100071,Klassik kostyum-shim,Kiyim va poyabzal,819000,44,4.2,45,1051,4.1,0,2026-07-04,458600,360400,481988600,0.0428,O'rtacha sotilgan
WB-100072,Sport sumkasi Suv o'tkazmaydigan,Sport va dam olish,496000,28,4.6,120,1432,4.7,0,2025-09-14,357100,138900,511367200,0.0838,Top sotilgan (Bestseller)
WB-100073,Mexanik klaviatura RGB,Elektronika,330000,15,4.4,188,1243,4.8,100,2026-08-06,280500,49500,348661500,0.1512,O'rtacha sotilgan
WB-100074,Charm kamar,Kiyim va poyabzal,628000,13,4.6,275,1922,4.9,0,2026-04-05,546400,81600,1050180800,0.1431,Top sotilgan (Bestseller)
WB-100075,Mexanik klaviatura RGB,Elektronika,1267000,22,4.6,885,7009,4.8,25,2026-06-12,988300,278700,6926994700,0.1263,Top sotilgan (Bestseller)
WB-100076,Uy shippagi Soft,Kiyim va poyabzal,304000,14,4.3,163,978,4.4,25,2025-12-17,261400,42600,255649200,0.1667,O'rtacha sotilgan
WB-100077,Tish tozalovchi kukun,Go'zallik va parvarish,132000,35,3.9,137,1212,4.8,0,2026-01-27,85800,46200,103989600,0.113,O'rtacha sotilgan
WB-100078,Powerbank 20000mAh,Elektronika,235000,28,5.0,23,628,4.4,100,2026-05-05,169200,65800,106257600,0.0366,Kam sotilgan
WB-100079,Simsiz sichqoncha,Elektronika,1744000,26,5.0,195,1685,4.8,10,2026-08-03,1290600,453400,2174661000,0.1157,Top sotilgan (Bestseller)
WB-100080,Shaker Protein,Sport va dam olish,263000,35,4.4,92,1142,4.3,100,2026-03-05,171000,92000,195282000,0.0806,O'rtacha sotilgan
WB-100081,Jinsi shim Slim Fit,Kiyim va poyabzal,480000,8,3.9,47,578,4.3,50,2026-08-15,441600,38400,255244800,0.0813,Kam sotilgan
WB-100082,Erkaklar futbolkasi Basic,Kiyim va poyabzal,331000,28,4.5,261,1610,4.7,250,2026-08-13,238300,92700,383663000,0.1621,Top sotilgan (Bestseller)
WB-100083,Yostiq Ortopedik,Uy-ro'zg'or buyumlari,667000,19,4.0,114,1313,5.0,10,2026-04-06,540300,126700,709413900,0.0868,O'rtacha sotilgan
WB-100084,Bluetooth karnay Mini,Elektronika,1016000,49,4.5,60,1107,4.9,50,2025-10-07,518200,497800,573647400,0.0542,O'rtacha sotilgan
WB-100085,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,46000,12,5.0,185,1224,4.3,100,2025-12-10,40500,5500,49572000,0.1511,O'rtacha sotilgan
WB-100086,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,378000,40,4.3,16,789,4.9,0,2025-10-28,226800,151200,178945200,0.0203,Kam sotilgan
WB-100087,Klassik kostyum-shim,Kiyim va poyabzal,74000,34,4.7,65,926,4.7,25,2026-05-11,48800,25200,45188800,0.0702,Kam sotilgan
WB-100088,Paypoqlar to'plami (5 juft),Kiyim va poyabzal,99000,41,3.8,88,1190,4.6,50,2026-03-15,58400,40600,69496000,0.0739,O'rtacha sotilgan
WB-100089,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,83000,52,4.7,8,882,4.4,25,2026-03-05,39800,43200,35103600,0.0091,Kam sotilgan
WB-100090,Tish tozalovchi kukun,Go'zallik va parvarish,208000,36,4.3,127,1562,4.4,50,2026-04-10,133100,74900,207902200,0.0813,Top sotilgan (Bestseller)
WB-100091,Plastilin to'plami,Bolalar tovarlari,276000,48,4.7,131,1519,5.0,0,2025-10-07,143500,132500,217976500,0.0862,Top sotilgan (Bestseller)
WB-100092,Klassik kostyum-shim,Kiyim va poyabzal,782000,16,4.3,98,915,4.8,250,2026-03-26,656900,125100,601063500,0.1071,Kam sotilgan
WB-100093,Taktik ryukzak 40L,Sport va dam olish,231000,49,4.8,20,954,4.4,100,2026-02-26,117800,113200,112381200,0.021,O'rtacha sotilgan
WB-100094,Uy shippagi Soft,Kiyim va poyabzal,812000,62,4.4,114,1744,4.7,500,2026-08-12,308600,503400,538198400,0.0654,Top sotilgan (Bestseller)
WB-100095,Organayzer javon,Uy-ro'zg'or buyumlari,694000,29,4.7,18,732,4.8,0,2025-10-07,492700,201300,360656400,0.0246,Kam sotilgan
WB-100096,Bluetooth karnay Mini,Elektronika,351000,29,4.8,340,2700,4.5,500,2026-07-04,249200,101800,672840000,0.1259,Top sotilgan (Bestseller)
WB-100097,Mexanik klaviatura RGB,Elektronika,915000,23,4.6,168,1169,4.7,250,2026-06-21,704600,210400,823677400,0.1437,O'rtacha sotilgan
WB-100098,Uy shippagi Soft,Kiyim va poyabzal,936000,44,4.6,348,3183,4.4,0,2025-08-25,524200,411800,1668528600,0.1093,Top sotilgan (Bestseller)
WB-100099,Sviter Casual,Kiyim va poyabzal,686000,6,4.5,196,1055,4.5,0,2026-04-14,644800,41200,680264000,0.1858,O'rtacha sotilgan
WB-100100,Tish tozalovchi kukun,Go'zallik va parvarish,197000,27,4.3,62,1055,5.0,50,2026-08-10,143800,53200,151709000,0.0588,O'rtacha sotilgan
WB-100101,Bolalar kolyaskasi Yengil,Bolalar tovarlari,287000,30,4.6,245,2279,5.0,0,2026-05-10,200900,86100,457851100,0.1075,Top sotilgan (Bestseller)
WB-100102,Klassik kostyum-shim,Kiyim va poyabzal,372000,55,4.4,19,960,4.8,10,2026-07-23,167400,204600,160704000,0.0198,O'rtacha sotilgan
WB-100103,Soch maskasi Keratin,Go'zallik va parvarish,346000,36,4.1,309,2493,4.3,500,2026-07-09,221400,124600,551950200,0.1239,Top sotilgan (Bestseller)
WB-100104,Parfyum Elixir 50ml,Go'zallik va parvarish,363000,23,4.3,9,566,4.7,25,2025-09-30,279500,83500,158197000,0.0159,Kam sotilgan
WB-100105,Paypoqlar to'plami (5 juft),Kiyim va poyabzal,511000,16,4.6,188,1807,4.7,250,2025-11-26,429200,81800,775564400,0.104,Top sotilgan (Bestseller)
WB-100106,Erkaklar futbolkasi Basic,Kiyim va poyabzal,461000,45,3.9,484,2620,4.5,250,2026-04-03,253600,207400,664432000,0.1847,Top sotilgan (Bestseller)
WB-100107,Tana skrabı Kofe,Go'zallik va parvarish,183000,31,4.9,49,928,4.2,0,2026-02-06,126300,56700,117206400,0.0528,O'rtacha sotilgan
WB-100108,Ring Light lampa,Elektronika,1582000,25,4.9,18,667,4.5,50,2025-10-27,1186500,395500,791395500,0.027,Kam sotilgan
WB-100109,Mexanik klaviatura RGB,Elektronika,1187000,31,4.7,145,1779,4.6,0,2026-07-18,819000,368000,1457001000,0.0815,Top sotilgan (Bestseller)
WB-100110,Qishki kurtka Oversize,Kiyim va poyabzal,220000,43,5.0,79,1128,4.7,500,2025-10-12,125400,94600,141451200,0.07,O'rtacha sotilgan
WB-100111,Choyshablar to'plami Satina,Uy-ro'zg'or buyumlari,57000,21,5.0,16,604,5.0,500,2026-07-07,45000,12000,27180000,0.0265,Kam sotilgan
WB-100112,Mexanik klaviatura RGB,Elektronika,707000,27,3.6,113,1299,4.4,10,2026-01-27,516100,190900,670413900,0.087,O'rtacha sotilgan
WB-100113,Sport sumkasi Suv o'tkazmaydigan,Sport va dam olish,264000,75,4.2,74,1452,4.8,10,2025-12-02,66000,198000,95832000,0.051,Top sotilgan (Bestseller)
WB-100114,Simsiz sichqoncha,Elektronika,1583000,28,4.4,224,2196,5.0,25,2026-04-09,1139800,443200,2503000800,0.102,Top sotilgan (Bestseller)
WB-100115,Telefon g'ilofi Silikon,Elektronika,1485000,60,4.0,64,1254,4.8,0,2026-03-01,594000,891000,744876000,0.051,O'rtacha sotilgan
WB-100116,Klassik kostyum-shim,Kiyim va poyabzal,494000,43,4.7,212,2180,4.9,50,2026-07-03,281600,212400,613888000,0.0972,Top sotilgan (Bestseller)
WB-100117,Powerbank 20000mAh,Elektronika,1024000,32,4.1,14,663,4.7,50,2026-07-15,696300,327700,461646900,0.0211,Kam sotilgan
WB-100118,Charm kamar,Kiyim va poyabzal,591000,52,4.5,33,965,4.7,10,2026-06-10,283700,307300,273770500,0.0342,O'rtacha sotilgan
WB-100119,Klassik kostyum-shim,Kiyim va poyabzal,120000,17,4.4,534,3613,4.8,250,2026-03-08,99600,20400,359854800,0.1478,Top sotilgan (Bestseller)
WB-100120,Ayollar ko'ylagi Vintage,Kiyim va poyabzal,367000,32,4.0,177,1796,4.7,100,2026-02-11,249600,117400,448281600,0.0986,Top sotilgan (Bestseller)
WB-100121,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,736000,25,4.5,17,649,4.6,10,2025-09-13,552000,184000,358248000,0.0262,Kam sotilgan
WB-100122,USB Type-C kabel Tezkor,Elektronika,966000,53,4.5,35,1113,4.8,500,2025-09-15,454000,512000,505302000,0.0314,O'rtacha sotilgan
WB-100123,Klassik kostyum-shim,Kiyim va poyabzal,449000,21,4.7,376,2391,5.0,25,2026-05-14,354700,94300,848087700,0.1573,Top sotilgan (Bestseller)
WB-100124,Mexanik klaviatura RGB,Elektronika,1116000,43,4.1,46,898,4.4,100,2026-03-28,636100,479900,571217800,0.0512,Kam sotilgan
WB-100125,Bluetooth karnay Mini,Elektronika,1138000,15,4.7,188,1114,4.4,100,2026-08-04,967300,170700,1077572200,0.1688,O'rtacha sotilgan
WB-100126,Bolalar futbolkasi Paxta,Bolalar tovarlari,64000,58,4.7,54,1191,4.5,250,2026-04-09,26900,37100,32037900,0.0453,O'rtacha sotilgan
WB-100127,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,129000,26,4.7,39,867,4.6,100,2026-03-08,95500,33500,82798500,0.045,Kam sotilgan
WB-100128,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,184000,17,4.2,791,3908,4.7,10,2026-08-22,152700,31300,596751600,0.2024,Top sotilgan (Bestseller)
WB-100129,Havo tozalagich diffuzor,Uy-ro'zg'or buyumlari,511000,30,4.1,41,790,4.9,250,2026-07-14,357700,153300,282583000,0.0519,Kam sotilgan
WB-100130,Jinsi shim Slim Fit,Kiyim va poyabzal,765000,36,4.9,53,944,4.7,10,2026-07-01,489600,275400,462182400,0.0561,O'rtacha sotilgan
WB-100131,Simsiz sichqoncha,Elektronika,984000,38,3.9,9,719,4.4,250,2026-05-13,610100,373900,438661900,0.0125,Kam sotilgan
WB-100132,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,161000,50,4.4,289,1917,4.7,10,2025-11-12,80500,80500,154318500,0.1508,Top sotilgan (Bestseller)
WB-100133,Avtomobil ushlagichi,Elektronika,1619000,41,4.3,120,1443,4.8,100,2025-10-08,955200,663800,1378353600,0.0832,Top sotilgan (Bestseller)
WB-100134,Gantellar to'plami 2x5kg,Sport va dam olish,144000,12,4.0,49,767,4.7,0,2025-09-14,126700,17300,97178900,0.0639,Kam sotilgan
WB-100135,Telefon g'ilofi Silikon,Elektronika,1399000,16,4.8,82,940,5.0,50,2025-12-25,1175200,223800,1104688000,0.0872,O'rtacha sotilgan
WB-100136,Smart soat Pro,Elektronika,1264000,43,4.8,74,1154,5.0,25,2026-02-14,720500,543500,831457000,0.0641,O'rtacha sotilgan
WB-100137,Avtomobil ushlagichi,Elektronika,263000,35,4.7,71,997,4.8,500,2026-07-03,171000,92000,170487000,0.0712,O'rtacha sotilgan
WB-100138,Sakrash arqoni Metall simli,Sport va dam olish,610000,33,4.3,20,737,4.7,50,2025-09-02,408700,201300,301211900,0.0271,Kam sotilgan
WB-100139,Yuz zardobi Hyaluron,Go'zallik va parvarish,116000,32,4.6,81,1210,4.4,100,2025-08-26,78900,37100,95469000,0.0669,O'rtacha sotilgan
WB-100140,Bolalar butilkasi Anti-kolik,Bolalar tovarlari,469000,24,4.8,101,964,4.6,100,2026-04-09,356400,112600,343569600,0.1048,O'rtacha sotilgan
WB-100141,Taktik ryukzak 40L,Sport va dam olish,112000,49,4.4,190,1800,4.4,10,2026-06-26,57100,54900,102780000,0.1056,Top sotilgan (Bestseller)
WB-100142,Krossovka Sport Run,Kiyim va poyabzal,695000,41,4.1,19,878,5.0,25,2025-11-13,410100,284900,360067800,0.0216,Kam sotilgan
WB-100143,Masofadan boshqariladigan mashina,Bolalar tovarlari,232000,43,4.1,148,1455,4.4,250,2025-10-17,132200,99800,192351000,0.1017,Top sotilgan (Bestseller)
WB-100144,Mikrofibra sochiqlar to'plami,Uy-ro'zg'or buyumlari,460000,32,5.0,429,3253,4.7,50,2025-11-17,312800,147200,1017538400,0.1319,Top sotilgan (Bestseller)
WB-100145,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,136000,33,4.4,355,2057,4.6,10,2026-03-21,91100,44900,187392700,0.1726,Top sotilgan (Bestseller)
WB-100146,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,658000,34,4.4,17,695,4.9,100,2026-03-02,434300,223700,301838500,0.0245,Kam sotilgan
WB-100147,Sakrash arqoni Metall simli,Sport va dam olish,373000,21,3.9,137,1430,4.9,10,2026-01-11,294700,78300,421421000,0.0958,O'rtacha sotilgan
WB-100148,Velosiped chirog'i LED,Sport va dam olish,510000,28,4.0,80,955,4.4,250,2026-01-09,367200,142800,350676000,0.0838,O'rtacha sotilgan
WB-100149,Qo'l kremi Mini,Go'zallik va parvarish,373000,61,4.3,41,1146,4.4,50,2026-07-23,145500,227500,166743000,0.0358,O'rtacha sotilgan
WB-100150,Sviter Casual,Kiyim va poyabzal,301000,23,4.4,13,591,4.7,100,2025-12-15,231800,69200,136993800,0.022,Kam sotilgan
WB-100151,Simsiz sichqoncha,Elektronika,253000,35,4.5,95,1340,4.9,50,2026-04-23,164400,88600,220296000,0.0709,O'rtacha sotilgan
WB-100152,USB Type-C kabel Tezkor,Elektronika,1191000,40,4.4,102,1300,4.0,10,2026-03-23,714600,476400,928980000,0.0785,O'rtacha sotilgan
WB-100153,Termo ichki kiyim,Sport va dam olish,521000,44,5.0,246,1975,4.6,100,2025-10-15,291800,229200,576305000,0.1246,Top sotilgan (Bestseller)
WB-100154,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,248000,41,4.4,84,1121,4.4,250,2026-04-13,146300,101700,164002300,0.0749,O'rtacha sotilgan
WB-100155,Klassik kostyum-shim,Kiyim va poyabzal,764000,12,4.3,23,565,4.3,100,2026-02-05,672300,91700,379849500,0.0407,Kam sotilgan
WB-100156,Krossovka Sport Run,Kiyim va poyabzal,494000,36,4.5,58,979,4.8,100,2026-06-11,316200,177800,309559800,0.0592,O'rtacha sotilgan
WB-100157,Mikrofibra sochiqlar to'plami,Uy-ro'zg'or buyumlari,511000,26,4.5,139,1632,4.3,250,2025-10-21,378100,132900,617059200,0.0852,Top sotilgan (Bestseller)
WB-100158,Telefon g'ilofi Silikon,Elektronika,457000,40,4.7,165,1723,4.8,50,2026-05-24,274200,182800,472446600,0.0958,Top sotilgan (Bestseller)
WB-100159,Idish yuvish geli 1L,Uy-ro'zg'or buyumlari,659000,49,4.7,145,1377,4.6,100,2026-05-07,336100,322900,462809700,0.1053,O'rtacha sotilgan
WB-100160,Sviter Casual,Kiyim va poyabzal,453000,24,4.0,80,1095,4.6,10,2026-05-11,344300,108700,377008500,0.0731,O'rtacha sotilgan
WB-100161,Parfyum Elixir 50ml,Go'zallik va parvarish,332000,13,4.9,164,1420,4.7,0,2026-05-26,288800,43200,410096000,0.1155,O'rtacha sotilgan
WB-100162,Charm kamar,Kiyim va poyabzal,88000,13,4.8,174,1760,4.4,50,2026-04-08,76600,11400,134816000,0.0989,Top sotilgan (Bestseller)
WB-100163,Avtomobil ushlagichi,Elektronika,309000,39,4.4,592,3851,5.0,500,2025-08-23,188500,120500,725913500,0.1537,Top sotilgan (Bestseller)
WB-100164,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,205000,27,4.7,74,888,5.0,500,2025-10-18,149600,55400,132844800,0.0833,Kam sotilgan
WB-100165,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,127000,53,4.7,70,1341,4.5,0,2026-03-15,59700,67300,80057700,0.0522,O'rtacha sotilgan
